"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SL","2024-07-25","91.4","-1.22","6.07","Cease, Dylan",682928,656302,"field_out","hit_into_play",,,,,7,"CJ Abrams lines out to right fielder Bryce Johnson.","R","L","R","WSH","SD","X",9,"line_drive",1,0,2024,"0","0.25","-0.42","1.8",,,,2,9,"Bot",193.23,107.02,,,,,2.0317569932106814,-133.14855729235416,-5.460821448909429,-0.4573961180765284,26.560783496145643,-28.32556130071186,"3.54","1.6",282,"82.6",22,"91.7",2764,"6.3",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.22",0.503,0.466,"0",1,0,0,4,62,2,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",59,"-0.005","-0.295","70.8","8.2",0.588,"0.295","88.0",-3,-3,"0.005","0.005",28,23,29,24,4,3,5,1,6,1,"2.46","0","0","49.8",11.683355987093623,-12.497526020218727,26.912732737833334,44.18600546932006,38.63137967465542
"SL","2024-07-25","90.1","-1.14","5.93","Cease, Dylan",682928,656302,,"ball",,,,,14,"CJ Abrams lines out to right fielder Bryce Johnson.","R","L","R","WSH","SD","B",,,0,0,2024,"0.11","0.21","1.5","0.67",,,,2,9,"Bot",,,,,,,6.360202838596192,-131.02281947984176,-7.6273918384147805,0.0251547748795411,25.841601541348563,-28.379354088723407,"3.48","1.59",,,,"90.7",2855,"6.6",744827,669134,630105,593428,456781,673490,595777,701538,669369,"53.93",,,,,,,,62,1,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",71,"0","0.04",,,,"-0.04",,-3,-3,"0.005","0.005",28,23,29,24,4,3,5,1,6,1,"2.58","-0.11","0.11","48.3",,,,,
"SL","2024-07-25","91.5","-0.76","6.14","Cease, Dylan",696285,656302,"field_out","hit_into_play",,,,,9,"Jacob Young grounds out, shortstop Ha-Seong Kim to first baseman Jake Cronenworth.","R","R","R","WSH","SD","X",6,"ground_ball",0,0,2024,"-0.07","0.33","0.56","2.04",,,,1,9,"Bot",106.08,152.42,,,,,3.4744518956972485,-133.154714842059,-5.208552538629212,-1.5178758731864455,27.747636403337125,-27.340530316896455,"3.35","1.52",45,"75.1",1,"91.7",2866,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.14",0.123,0.134,"0",1,0,0,2,61,1,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",111,"-0.012","-0.256","66.9","7.6",0.14,"0.256","88.0",-3,-3,"0.017","0.017",28,24,29,25,3,2,5,1,6,1,"2.38","0.07","0.07","52.5",12.913166871865746,0.6134861158701626,31.50554080495849,46.3110551513364,33.89554376502086
"SL","2024-07-25","90.6","-1.13","6","Cease, Dylan",545121,656302,"field_out","hit_into_play",,,,,14,"Ildemaro Vargas grounds out softly, second baseman Xander Bogaerts to first baseman Jake Cronenworth.","R","L","R","WSH","SD","X",4,"ground_ball",2,2,2024,"0.14","0.24","0.48","1",,,,0,9,"Bot",147.29,157.5,,,,,3.7084999442421616,-131.7938790243041,-7.097386594547683,0.8949977126799268,26.582398117024418,-28.08612174474902,"3.33","1.53",2,"59.9",-26,"90.9",2784,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.14",0.06,0.054,"0",1,0,0,2,60,8,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",131,"-0.021","-0.227","48.8","7.1",0.061,"0.227","88.0",-3,-3,"0.038","0.038",28,32,29,33,3,2,5,4,6,3,"2.52","-0.14","0.14","51.2",-4.309402007081234,4.017628693206249,34.87232522020199,29.440763705545486,16.728000277692328
"FF","2024-07-25","99.6","-0.92","6.22","Cease, Dylan",545121,656302,,"foul",,,,,12,"Ildemaro Vargas grounds out softly, second baseman Xander Bogaerts to first baseman Jake Cronenworth.","R","L","R","WSH","SD","S",,,2,2,2024,"-0.02","1.34","1.01","2.46",,,,0,9,"Bot",,,,,,,5.348410291741916,-144.85824345516144,-8.11625029832761,-1.4227049802111473,31.766467152602633,-11.647023745391817,"3.33","1.53",4,"79.7",-35,"100.1",2630,"6.5",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.04",,,,,,,,60,7,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",188,"0","0","65.4","6.6",,"0","88.0",-3,-3,"0.038","0.038",28,32,29,33,3,2,5,4,6,3,"0.95","0.02","-0.02","55.1",2.721677910811953,0.5453071823439214,29.470674826261956,22.6374412685637,22.37823388063231
"SL","2024-07-25","89.7","-1.11","5.94","Cease, Dylan",545121,656302,,"foul",,,,,9,"Ildemaro Vargas grounds out softly, second baseman Xander Bogaerts to first baseman Jake Cronenworth.","R","L","R","WSH","SD","S",,,2,2,2024,"-0.04","0.32","0.34","1.48",,,,0,9,"Bot",,,,,,,3.691005271896568,-130.68579504761598,-5.819760766904066,-1.0703134830319119,23.461247813482508,-27.650073382617975,"3.33","1.53",49,"70.4",81,"90.7",2842,"6.5",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.03",,,,,,,,60,6,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",103,"0","0","69.6","8.1",,"0","88.0",-3,-3,"0.038","0.038",28,32,29,33,3,2,5,4,6,3,"2.48","0.04","-0.04","47.5",12.09874961955678,-28.88948391586383,29.633876256857103,30.412920442122555,36.85601211050343
"SL","2024-07-25","89.9","-0.9","6","Cease, Dylan",545121,656302,,"ball",,,,,14,"Ildemaro Vargas grounds out softly, second baseman Xander Bogaerts to first baseman Jake Cronenworth.","R","L","R","WSH","SD","B",,,1,2,2024,"0","0.39","0.45","0.08",,,,0,9,"Bot",,,,,,,3.366269416453952,-130.7334907188076,-9.592043010514255,-0.6090007779969642,24.182845953050126,-26.082186674740836,"3.26","1.45",,,,"90.6",2936,"6.5",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.03",,,,,,,,60,5,"Slider",0,3,0,3,3,0,0,3,"Infield shade","Standard",90,"0","0.04",,,,"-0.04",,-3,-3,"0.038","0.038",28,32,29,33,3,2,5,4,6,3,"2.41","0","0","49.4",,,,,
"SL","2024-07-25","89.2","-1.09","5.98","Cease, Dylan",545121,656302,,"foul",,,,,13,"Ildemaro Vargas grounds out softly, second baseman Xander Bogaerts to first baseman Jake Cronenworth.","R","L","R","WSH","SD","S",,,1,2,2024,"0.2","0.23","-0.17","1.3",,,,0,9,"Bot",,,,,,,1.844638225720945,-130.00075253459568,-6.0515854260325055,1.9259283793671453,24.525455501371866,-28.58497704035187,"3.33","1.53",0,"68.1",-69,"89.8",2877,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.14",,,,,,,,60,4,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",122,"0","0","55.4","6.9",,"0","88.0",-3,-3,"0.038","0.038",28,32,29,33,3,2,5,4,6,3,"2.6","-0.2","0.2","47.8",-12.20638443610528,13.909958941580161,29.269135921840107,36.66801386499542,10.828530900909772
"FF","2024-07-25","98.8","-0.89","6.16","Cease, Dylan",545121,656302,,"foul",,,,,3,"Ildemaro Vargas grounds out softly, second baseman Xander Bogaerts to first baseman Jake Cronenworth.","R","L","R","WSH","SD","S",,,1,1,2024,"-0.42","1.45","0.53","2.83",,,,0,9,"Bot",,,,,,,4.867077180559492,-143.76422611240807,-7.064042353677039,-6.84393816161679,30.831212961412024,-10.579041609305802,"3.33","1.53",217,"72.3",26,"99.3",2593,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.09",,,,,,,,60,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",188,"0","-0.056","62.2","5.7",,"0.056","88.0",-3,-3,"0.038","0.038",28,32,29,33,3,2,5,4,6,3,"0.87","0.42","-0.42","55.9",-10.915260679559259,20.084621800982223,27.071111878717105,27.338520769648543,13.873365545904344
"SL","2024-07-25","90.1","-1.27","5.99","Cease, Dylan",545121,656302,,"foul",,,,,14,"Ildemaro Vargas grounds out softly, second baseman Xander Bogaerts to first baseman Jake Cronenworth.","R","L","R","WSH","SD","S",,,1,0,2024,"0.2","-0.18","0.1","1.28",,,,0,9,"Bot",,,,,,,2.9792115706380873,-131.19257853222072,-5.3961105998833245,1.682010514313784,26.0609818288809,-33.3877334477313,"3.33","1.53",,,,"90.3",2894,"6.3",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.24",,,,,,,,60,2,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",55,"0","-0.049","73.5","8.1",,"0.049",,-3,-3,"0.038","0.038",28,32,29,33,3,2,5,4,6,3,"2.97","-0.2","0.2","49.9",10.361061573841239,-19.182312884091207,30.30161625800732,33.20990020354462,32.45823104985077
"SL","2024-07-25","90.1","-0.84","5.99","Cease, Dylan",545121,656302,,"ball",,,,,14,"Ildemaro Vargas grounds out softly, second baseman Xander Bogaerts to first baseman Jake Cronenworth.","R","L","R","WSH","SD","B",,,0,0,2024,"0.26","0.09","0.94","0.38",,,,0,9,"Bot",,,,,,,3.8768024908694505,-131.09328392113412,-8.230292932518738,2.219519375796053,25.430513897574745,-29.75086864340459,"3.36","1.43",,,,"90.6",2683,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.09",,,,,,,,60,1,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",113,"0","0.038",,,,"-0.038",,-3,-3,"0.038","0.038",28,32,29,33,3,2,5,4,6,3,"2.7","-0.26","0.26","52.3",,,,,
"FF","2024-07-25","99.1","-0.89","6.18","Cease, Dylan",671277,656302,"field_out","hit_into_play",,,,,5,"Luis García Jr. grounds out, shortstop Ha-Seong Kim to first baseman Jake Cronenworth.","R","L","R","WSH","SD","X",6,"ground_ball",1,1,2024,"-0.34","1.23","0.11","2.81",,,,2,8,"Bot",118.27,146.32,,,,,3.5450195261973745,-144.2284521714449,-6.703653438247102,-5.5983651385032775,31.6352186751715,-13.59102616942301,"3.49","1.68",15,"104.7",-10,"99.4",2542,"6.3",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.18",0.326,0.284,"0",1,0,0,2,55,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",183,"-0.008","-0.244","68.7","6.4",0.355,"0.244","104.7",-3,-3,"0.039","0.039",28,24,29,24,3,2,5,1,6,1,"1.08","0.34","-0.34","54.5",-1.4591587106137134,17.28546979444376,25.98302339193078,37.40897284100225,20.363973017698918
"KC","2024-07-25","85.2","-0.99","6.06","Cease, Dylan",671277,656302,,"swinging_strike",,,,,13,"Luis García Jr. grounds out, shortstop Ha-Seong Kim to first baseman Jake Cronenworth.","R","L","R","WSH","SD","S",,,1,0,2024,"0.03","-1.3","-0.4","0.24",,,,2,8,"Bot",,,,,,,1.3302455361295944,-124.0748118370174,-4.732427091060882,0.05432029345329326,25.93943020608049,-44.777234046348156,"3.49","1.68",,,,"85.4",2784,"6.5",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.02",,,,,,,,55,2,"Knuckle Curve",0,3,0,3,3,0,0,3,"Standard","Standard",31,"0","-0.051","75.9","8.6",,"0.051",,-3,-3,"0.039","0.039",28,24,29,24,3,2,5,1,6,1,"4.44","-0.03","0.03","54.9",19.385920080764016,-22.059298018814463,33.92120055243682,43.03999094318407,46.24043126455109
"KC","2024-07-25","86.1","-0.82","6.08","Cease, Dylan",671277,656302,,"ball",,,,,14,"Luis García Jr. grounds out, shortstop Ha-Seong Kim to first baseman Jake Cronenworth.","R","L","R","WSH","SD","B",,,0,0,2024,"-0.06","-1.08","0.46","1.34",,,,2,8,"Bot",,,,,,,3.1691068645867735,-125.4008054719595,-2.837851215962803,-1.244400260923535,25.792569615720026,-43.1496734152081,"3.52","1.67",,,,"86.3",2807,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.08",,,,,,,,55,1,"Knuckle Curve",0,3,0,3,3,0,0,3,"Standard","Standard",32,"0","0.04",,,,"-0.04",,-3,-3,"0.039","0.039",28,24,29,24,3,2,5,1,6,1,"4.15","0.06","-0.06","52.4",,,,,
"SL","2024-07-25","90.3","-1.09","6.05","Cease, Dylan",660688,656302,"field_out","hit_into_play",,,,,7,"Keibert Ruiz grounds out, second baseman Xander Bogaerts to first baseman Jake Cronenworth.","R","L","R","WSH","SD","X",4,"ground_ball",0,0,2024,"0.03","0.22","-0.54","1.53",,,,1,8,"Bot",155.32,151.91,,,,,1.3251938398033016,-131.546449051595,-5.837454601258113,0.06441227141602446,26.81461365560781,-28.580238955908,"3.37","1.57",13,"103",-6,"90.6",2789,"6.3",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.17",0.36,0.279,"0",1,0,0,2,54,1,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",110,"-0.015","-0.256","72.3","7.2",0.408,"0.256","103.0",-3,-3,"0.054","0.054",28,25,29,26,3,2,5,2,6,1,"2.56","-0.03","0.03","50.3",5.96874733109364,-3.948664937722237,35.596448795572705,37.38451758143877,37.686628245820216
"SL","2024-07-25","90.3","-1.23","5.96","Cease, Dylan",695578,656302,"strikeout","swinging_strike",,,,,4,"James Wood strikes out swinging.","R","L","R","WSH","SD","S",2,,2,2,2024,"-0.05","0.23","-0.6","2.73",,,,0,8,"Bot",,,,,,,1.6821741862980013,-131.6204774220096,-2.6148312856534996,-0.97722383699214,26.989605613787223,-29.180114218048164,"3.86","1.78",,,,"90.6",2735,"6.3",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.22",,0,"0",1,0,0,,53,5,"Slider",0,3,0,3,3,0,0,3,"Infield shade","Standard",117,"-0.025","-0.227","67.1","6.3",,"0.227",,-3,-3,"0.079","0.079",28,21,29,22,3,2,5,1,6,1,"2.55","0.05","-0.05","44.1",-14.32237302238181,30.99644232004852,37.45691339792846,44.63563900380774,6.611233145357844
"FF","2024-07-25","99.2","-1.01","6.17","Cease, Dylan",695578,656302,,"swinging_strike",,,,,11,"James Wood strikes out swinging.","R","L","R","WSH","SD","S",,,2,1,2024,"-0.04","1.38","-0.26","4.03",,,,0,8,"Bot",,,,,,,2.164320473726994,-144.4511443484819,-3.679764068336174,-1.0400055269709902,32.64831421425211,-12.211778693020294,"3.86","1.78",,,,"99.6",2636,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.08",,,,,,,,53,4,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",190,"0","-0.069","74.7","6.2",,"0.069",,-3,-3,"0.079","0.079",28,21,29,22,3,2,5,1,6,1,"0.93","0.04","-0.04","52.5",-0.516553945259732,25.212743248901415,29.292481853788267,40.52400664823039,16.397034788457514
"FF","2024-07-25","98.3","-0.96","6.15","Cease, Dylan",695578,656302,,"called_strike",,,,,1,"James Wood strikes out swinging.","R","L","R","WSH","SD","S",,,2,0,2024,"-0.18","1.43","-0.78","3.11",,,,0,8,"Bot",,,,,,,0.9100438847150426,-143.20284567877675,-6.147743660194867,-2.6910662758206394,31.404535038081136,-11.235938662903358,"3.73","1.69",,,,"98.8",2615,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.08",,,,,,,,53,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",189,"0","-0.065",,,,"0.065",,-3,-3,"0.079","0.079",28,21,29,22,3,2,5,1,6,1,"0.91","0.18","-0.18","50.6",,,,,
"FF","2024-07-25","97.9","-0.91","6.22","Cease, Dylan",695578,656302,,"ball",,,,,9,"James Wood strikes out swinging.","R","L","R","WSH","SD","B",,,1,0,2024,"-0.06","1.34","0.37","2.02",,,,0,8,"Bot",,,,,,,3.60700769835534,-142.3492399503,-8.95697691325157,-1.5668050755895477,30.372762921658794,-12.081462843046461,"3.62","1.64",,,,"98.2",2640,"6.3",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.17",,,,,,,,53,2,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",181,"0","0.069",,,,"-0.069",,-3,-3,"0.079","0.079",28,21,29,22,3,2,5,1,6,1,"1.02","0.06","-0.06","56.0",,,,,
"FF","2024-07-25","98.8","-1.06","6.23","Cease, Dylan",695578,656302,,"ball",,,,,11,"James Wood strikes out swinging.","R","L","R","WSH","SD","B",,,0,0,2024,"-0.34","1.21","-0.55","4.53",,,,0,8,"Bot",,,,,,,2.1879560952197434,-143.99364575147123,-2.075564645052402,-5.228356289712775,31.165437177997248,-14.985727844166673,"3.64","1.66",,,,"99.3",2585,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.15",,,,,,,,53,1,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shade","Standard",192,"0","0.038",,,,"-0.038",,-3,-3,"0.079","0.079",28,21,29,22,3,2,5,1,6,1,"1.1","0.34","-0.34","55.8",,,,,
"SL","2024-07-25","92.1","-1.16","6.04","Cease, Dylan",660766,656302,"field_out","hit_into_play",,,,,9,"Juan Yepez grounds out, third baseman Donovan Solano to first baseman Jake Cronenworth.","R","R","R","WSH","SD","X",5,"ground_ball",1,1,2024,"0.15","0.26","0.65","2.04",,682928,,2,7,"Bot",102.53,162.09,,,,,4.275618039619964,-134.0718545828464,-4.939888330978079,0.933315795273181,26.63342787171233,-28.24954061677199,"3.45","1.68",4,"71.7",-28,"92.5",2822,"6.3",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.16",0.046,0.048,"0",1,0,0,2,49,3,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",149,"-0.031","-0.271","68.8","8.0",0.052,"0.271","88.0",-3,-3,"0.096","0.096",28,26,29,26,3,2,5,1,6,1,"2.41","-0.15","-0.15","54.3",8.901414371496259,-7.779514215600648,25.298210079872817,41.5760201773671,32.95029459579959
"SL","2024-07-25","91.2","-1.13","5.96","Cease, Dylan",660766,656302,,"swinging_strike",,,,,14,"Juan Yepez grounds out, third baseman Donovan Solano to first baseman Jake Cronenworth.","R","R","R","WSH","SD","S",,,1,0,2024,"0.04","0.27","0.41","0.91",,682928,,2,7,"Bot",,,,,,,3.783276365766163,-132.67203401447566,-7.427199885706813,-0.2538421193309125,25.999862149216156,-27.708045103495248,"3.45","1.68",,,,"91.4",2823,"6.2",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.27",,,,,,,,49,2,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",161,"0","-0.043","74.9","8.7",,"0.043",,-3,-3,"0.096","0.096",28,26,29,26,3,2,5,1,6,1,"2.45","-0.04","-0.04","47.0",19.52936222041119,-25.242607274229695,36.07553364700776,39.116642508116726,42.417998429711645
"SL","2024-07-25","90.8","-1.05","6.03","Cease, Dylan",660766,656302,,"ball",,,,,14,"Juan Yepez grounds out, third baseman Donovan Solano to first baseman Jake Cronenworth.","R","R","R","WSH","SD","B",,,0,0,2024,"0.16","0.3","0.9","1.16",,682928,,2,7,"Bot",,,,,,,4.553726706941182,-132.25100209117645,-7.018300860668642,0.9989356128246791,24.492960748762325,-27.5324967496771,"3.53","1.6",,,,"91.7",2789,"6.5",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54",,,,,,,,49,1,"Slider",0,3,0,3,3,0,0,3,"Standard","Standard",148,"0","0.014",,,,"-0.014",,-3,-3,"0.096","0.096",28,26,29,26,3,2,5,1,6,1,"2.43","-0.16","-0.16","52.3",,,,,
"SL","2024-07-25","90.2","-1.58","5.79","Cease, Dylan",608385,656302,"field_out","hit_into_play",,,,,8,"Jesse Winker flies out to left fielder Jurickson Profar.","R","L","R","WSH","SD","X",7,"fly_ball",1,2,2024,"0.03","0.35","0.13","1.55",,682928,,1,7,"Bot",57.04,123.61,,,,,4.191627967383,-131.2558356472247,-5.382036323160017,-0.4792452355978151,26.23628051536936,-27.172370501637197,"3.46","1.63",254,"83.9",46,"90.6",2730,"6.4",744827,669134,630105,593428,456781,673490,595777,701538,669369,"54.07",0.006,0.007,"0",1,0,0,3,48,4,"Slider",0,3,0,3,3,0,0,3,"Infield shade","Standard",182,"-0.038","-0.185","65.8","7.5",0.013,"0.185","88.0",-3,-3,"0.134","0.134",28,30,29,31,3,2,5,1,6,1,"2.43","-0.03","0.03","38.9",7.042520011228506,4.095333529621103,35.676511385150384,35.680271100355455,28.528733849269308
